"Title","InternalName"
"Content Type ID","ContentTypeId"
"Title","Title"
"Approver Comments","_ModerationComments"
"File Type","File_x0020_Type"
"Color","_ColorHex"
"Color Tag","_ColorTag"
"Emoji","_Emoji"
"Compliance Asset Id","ComplianceAssetId"
"Zona","Zona"
"Superficie Neta","SuperficieNeta"
"Superficie Vendible","SuperficieVendible"
"Total Construido","TotalConstruido"
"Constructibilidad Usada","ConstructibilidadUsada"
"Incidencia","Incidencia"
"Unidades","Unidades"
"Estacionamientos Vendibles","EstacionamientosVendibles"
"Bodegas","Bodegas"
"Costo Directo","CostoDirecto"
"Costo Terreno","CostoTerreno"
"Margen IFRS","MargenIFRS"
"Ingreso Total","IngresoTotal"
"TIR","TIR"
"Inmobiliaria","Inmobiliaria"
"Centro Costo","CentroCosto"
"Rol Matriz","RolMatriz"
"Firma Planos","FirmaPlanos"
"Permiso Edificacion","PermisoEdificacion"
"Inicio Excavacion","InicioExcavacion"
"Inicio Ventas","InicioVentas"
"Resolucion Recepcion","ResolucionRecepcion"
"Entrega Departamentos","EntregaDepartamentos"
"Tipos de Departamentos","TiposDepartamentos"
"Tipos de Departamentos","TiposDepartamentos0"
"ID","ID"
"Content Type","ContentType"
"Modified","Modified"
"Created","Created"
"Created By","Author"
"Modified By","Editor"
"Has Copy Destinations","_HasCopyDestinations"
"Copy Source","_CopySource"
"owshiddenversion","owshiddenversion"
"Workflow Version","WorkflowVersion"
"UI Version","_UIVersion"
"Version","_UIVersionString"
"Attachments","Attachments"
"Approval Status","_ModerationStatus"
"Edit","Edit"
"Title","LinkTitleNoMenu"
"Title","LinkTitle"
"Title","LinkTitle2"
"Select","SelectTitle"
"Instance ID","InstanceID"
"Order","Order"
"GUID","GUID"
"Workflow Instance ID","WorkflowInstanceID"
"URL Path","FileRef"
"Path","FileDirRef"
"Modified","Last_x0020_Modified"
"Created","Created_x0020_Date"
"Item Type","FSObjType"
"Sort Type","SortBehavior"
"Effective Permissions Mask","PermMask"
"Principal Count","PrincipalCount"
"Name","FileLeafRef"
"Unique Id","UniqueId"
"Document Parent Identifier","ParentUniqueId"
"Client Id","SyncClientId"
"ProgId","ProgId"
"ScopeId","ScopeId"
"HTML File Type","HTML_x0020_File_x0020_Type"
"Edit Menu Table Start","_EditMenuTableStart"
"Edit Menu Table Start","_EditMenuTableStart2"
"Edit Menu Table End","_EditMenuTableEnd"
"Name","LinkFilenameNoMenu"
"Name","LinkFilename"
"Name","LinkFilename2"
"Type","DocIcon"
"Server Relative URL","ServerUrl"
"Encoded Absolute URL","EncodedAbsUrl"
"File Name","BaseName"
"Property Bag","MetaInfo"
"Level","_Level"
"Is Current Version","_IsCurrentVersion"
"Item Child Count","ItemChildCount"
"Folder Child Count","FolderChildCount"
"Restricted","Restricted"
"Originator Id","OriginatorId"
"NoExecute","NoExecute"
"Content Version","ContentVersion"
"Label setting","_ComplianceFlags"
"Retention label","_ComplianceTag"
"Retention label Applied","_ComplianceTagWrittenTime"
"Label applied by","_ComplianceTagUserId"
"Item is a Record","_IsRecord"
"Access Policy","AccessPolicy"
"VirusStatus","_VirusStatus"
"VirusVendorID","_VirusVendorID"
"VirusInfo","_VirusInfo"
"$Resources:core,RansomwareAnomalyMetaInfo;","_RansomwareAnomalyMetaInfo"
"App Created By","AppAuthor"
"App Modified By","AppEditor"
"Total Size","SMTotalSize"
"Last Modified Date","SMLastModifiedDate"
"Total File Stream Size","SMTotalFileStreamSize"
"Total File Count","SMTotalFileCount"
"Comment settings","_CommentFlags"
"Comment count","_CommentCount"
